LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
300001,1999/04/30 04:00:00+00,1999/05/08 04:00:00+00,1999/05/09 04:00:00+00,5682,25,SELT'S SOCIAL CLUB,STEELWORKERS UNION HALL LOCAL #2610,LS,BWL,"Beer, Wine, & Liquor",550 DUNDALK AVE,21224,550 DUNDALK AVE 21224
300002,2000/02/14 05:00:00+00,2000/03/11 05:00:00+00,2000/03/12 05:00:00+00,6122,25,MARYLAND ART PLACE/ 14 KT CABARET,MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W. SARATOGA ST.,21201,218 W. SARATOGA ST. 21201
300003,2000/05/12 04:00:00+00,2000/05/17 04:00:00+00,2000/05/18 04:00:00+00,6283,25,"MARYLAND ART PLACE, INC./14K CABARET",MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W SARATOGA ST,21201,218 W SARATOGA ST 21201
300004,2002/06/04 04:00:00+00,2002/06/11 04:00:00+00,2002/06/16 04:00:00+00,356,125,OUR LADY OF POMPEI CHURCH,OUR LADY OF POMPEI SCHOOL FIELD,WS,BW,Beer & Wines,CLAREMONT & GRUNDY,21224,CLAREMONT & GRUNDY 21224
300005,1996/02/27 05:00:00+00,1996/03/09 05:00:00+00,1996/03/10 05:00:00+00,3655,25,OUR LADY OF POMPEI CHURCH,SCHOOL GYMNASIUM,WS,BW,Beer & Wines,201 S. CONKLING STREET,21224,201 S. CONKLING STREET 21224
300006,1997/05/27 04:00:00+00,1997/06/04 04:00:00+00,1997/06/05 04:00:00+00,4594,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300007,1997/05/27 04:00:00+00,1997/06/18 04:00:00+00,1997/06/19 04:00:00+00,4595,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300008,1997/05/27 04:00:00+00,1997/06/25 04:00:00+00,1997/06/26 04:00:00+00,4596,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES TEMPLE,21210,4900 N. CHARLES TEMPLE 21210
300009,1997/05/27 04:00:00+00,1997/07/02 04:00:00+00,1997/07/03 04:00:00+00,4597,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300010,1997/05/27 04:00:00+00,1997/07/09 04:00:00+00,1997/07/10 04:00:00+00,4598,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300011,1997/05/27 04:00:00+00,1997/07/16 04:00:00+00,1997/07/17 04:00:00+00,4599,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300012,1997/05/27 04:00:00+00,1997/07/23 04:00:00+00,1997/07/24 04:00:00+00,4600,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300013,1997/05/27 04:00:00+00,1997/07/30 04:00:00+00,1997/07/31 04:00:00+00,4601,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300014,1997/05/27 04:00:00+00,1997/08/06 04:00:00+00,1997/08/07 04:00:00+00,4602,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300015,1997/05/27 04:00:00+00,1997/08/13 04:00:00+00,1997/08/14 04:00:00+00,4603,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300016,1996/01/27 05:00:00+00,1996/04/10 04:00:00+00,1996/04/11 04:00:00+00,3556,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300017,1996/01/27 05:00:00+00,1996/04/17 04:00:00+00,1996/04/18 04:00:00+00,3557,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300018,1996/01/25 05:00:00+00,1996/04/24 04:00:00+00,1996/04/25 04:00:00+00,3558,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300019,1996/01/25 05:00:00+00,1996/05/01 04:00:00+00,1996/05/02 04:00:00+00,3559,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300020,1996/01/25 05:00:00+00,1996/05/08 04:00:00+00,1996/05/09 04:00:00+00,3560,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300021,1996/01/25 05:00:00+00,1996/05/15 04:00:00+00,1996/05/16 04:00:00+00,3561,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300022,1996/01/25 05:00:00+00,1996/05/22 04:00:00+00,1996/05/23 04:00:00+00,3562,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300023,1996/01/25 05:00:00+00,1996/06/12 04:00:00+00,1996/06/13 04:00:00+00,3563,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300024,1996/01/25 05:00:00+00,1996/06/19 04:00:00+00,1996/06/20 04:00:00+00,3564,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300025,1996/01/25 05:00:00+00,1996/06/26 04:00:00+00,1996/06/27 04:00:00+00,3565,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300026,1996/01/26 05:00:00+00,1996/07/03 04:00:00+00,1996/07/04 04:00:00+00,3566,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES STREET,21204,4900 N. CHARLES STREET 21204
300027,1996/01/26 05:00:00+00,1996/07/10 04:00:00+00,1996/07/11 04:00:00+00,3567,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300028,1996/01/04 05:00:00+00,1996/01/20 05:00:00+00,1996/01/21 05:00:00+00,3517,25,BOUMI TEMPLE INC,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300029,1995/07/07 04:00:00+00,1995/12/06 05:00:00+00,1995/12/07 05:00:00+00,3197,25,BOUMI TEMPLE LUNCHEON CLUB,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES STREET,21204,4900 N. CHARLES STREET 21204
300030,1996/02/27 05:00:00+00,1996/03/23 04:00:00+00,1996/03/24 04:00:00+00,3656,25,OUR LADY OF POMPEI CHURCH,SCHOOL GYMNASIUM,WS,BW,Beer & Wines,201 S. CONKLING STREET,21224,201 S. CONKLING STREET 21224
300031,1994/12/16 05:00:00+00,1994/12/17 05:00:00+00,1994/12/18 05:00:00+00,2732,25,JUGGERNAUT'S M/C,LIBERTY SOCIAL CLUB,LS,BWL,"Beer, Wine, & Liquor",422 W. FRANKLIN STREET,21221,422 W. FRANKLIN STREET 21221
300032,2004/01/22 05:00:00+00,2004/02/07 05:00:00+00,2004/02/08 05:00:00+00,1369,25,CATHOLIC CHARITIES/OUR DAILY BREAD,OUR DAILY BREAD,WS,BW,Beer & Wines,411 CATHEDRAL STREET,21201,411 CATHEDRAL STREET 21201
300033,1994/12/14 05:00:00+00,1994/12/17 05:00:00+00,1994/12/18 05:00:00+00,2730,25,A.F.S.C.M.E LOCAL #1678,TEAMSTER HALL,LS,BWL,"Beer, Wine, & Liquor",6000 ERDMAN AVENUE,21205,6000 ERDMAN AVENUE 21205
300034,1998/06/10 04:00:00+00,1998/06/13 04:00:00+00,1998/06/14 04:00:00+00,5200,25,LIBERTY SOCIAL CLUB,LIBERTY SOCIAL CLUB HOUSE,LS,BWL,"Beer, Wine, & Liquor",422 W. FRANKLIN STREET,21202,422 W. FRANKLIN STREET 21202
300035,1995/06/27 04:00:00+00,1996/01/14 05:00:00+00,1996/01/15 05:00:00+00,3153,25,MT.ST.JOSEPH HIGH SCHOOL/ALUMNI ASSOC.,SCHOOL GYM,WS,BW,Beer & Wines,4403 FREDERICK AVE,21229,4403 FREDERICK AVE 21229
300036,1998/03/19 04:00:00+00,1998/04/19 04:00:00+00,1998/04/20 04:00:00+00,5046,25,HOLY CROSS POLISH NATIONAL CHURCH,CHURCH HALL,WS,BW,Beer & Wines,208 S. BROADWAY,21231,208 S. BROADWAY 21231
300037,1996/03/04 05:00:00+00,1996/03/11 04:00:00+00,1996/03/12 04:00:00+00,3665,25,U OF B INTERNATIONAL LAW SOCIETY,UNIVERSITY OF BALTIMORE/GORDON PLAZA,WS,BW,Beer & Wines,1421 N. CHARLES STREET,21201,1421 N. CHARLES STREET 21201
300038,1996/01/25 05:00:00+00,1996/02/03 05:00:00+00,1996/02/04 05:00:00+00,3535,25,BOUMI TEMPLE INC,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300039,1997/01/27 05:00:00+00,1997/02/01 05:00:00+00,1997/02/02 05:00:00+00,4378,25,BALTIMORE WOMEN'S BOWLING ASSOC.,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300040,2000/05/12 04:00:00+00,2000/06/09 04:00:00+00,2000/06/11 04:00:00+00,6284,50,"MARYLAND ART PLACE, INC./14K CABARET",MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W SARATOGA ST,21201,218 W SARATOGA ST 21201
300041,2004/02/17 05:00:00+00,2004/05/07 04:00:00+00,2004/05/09 04:00:00+00,1409,50,ST. ANTHONY'S OF PADUA SCHOOL,SCHOOL HALL,WS,BW,Beer & Wines,4400 FRANKFORD AVE,21206,4400 FRANKFORD AVE 21206
300042,1995/09/22 04:00:00+00,1995/12/31 05:00:00+00,1996/01/01 05:00:00+00,3367,25,BOUMI TEMPLE KNIGHTS OF MECCA,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300043,1998/02/23 05:00:00+00,1998/03/01 05:00:00+00,1998/03/02 05:00:00+00,49,25,ST. JOSEPH'S MONASTERY MENS CLUB,ST. JOSEPH'S CHURCH HALL,WS,BW,Beer & Wines,3601 OLD FREDERICK ROAD,21229,3601 OLD FREDERICK ROAD 21229
300044,1998/01/15 05:00:00+00,1998/01/23 05:00:00+00,1998/01/24 05:00:00+00,4930,25,BOUMI TEMPLE LEGION OF HONOR,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N. CHARLES ST.,21210,4900 N. CHARLES ST. 21210
300045,1998/01/15 05:00:00+00,1998/03/14 04:00:00+00,1998/03/15 04:00:00+00,4931,25,BOUMI TEMPLE LEGION OF HONOR,BOUMI TEMPLE,LS,BWL,"Beer, Wine, & Liquor",4900 N.  CHARLES STREET,21210,4900 N.  CHARLES STREET 21210
300046,2000/02/23 05:00:00+00,2000/02/26 05:00:00+00,2000/02/27 05:00:00+00,6135,25,SHRINE OF THE SACRED HEART SCHOOL,TAYLOR HALL SCHOOL GYMNASIUM,LS,BWL,"Beer, Wine, & Liquor",5800 SMITH AVENUE,21209,5800 SMITH AVENUE 21209
300047,1996/10/01 04:00:00+00,1996/10/25 04:00:00+00,1996/10/26 04:00:00+00,4167,25,VIETNAM VETERANS OF AMERICA #451,CHAPTER HEADQUARTERS,WS,BW,Beer & Wines,6401 BECKLEY STREET,21224,6401 BECKLEY STREET 21224
300048,1994/01/27 05:00:00+00,1994/02/02 05:00:00+00,1994/02/03 05:00:00+00,104,25,"LEAGUE FOR THE HANDICAPPED, INC.",FOSTER'S RESTAURANT 2ND. FLOOR,WS,BW,Beer & Wines,606 S. BROADWAY,21231,606 S. BROADWAY 21231
300049,1999/04/05 04:00:00+00,1999/04/15 04:00:00+00,1999/04/16 04:00:00+00,5628,25,BALTIMORE MUSEUM OF ART,MUSEUM OF ART (FOX AND SCHAEFER COURTS),LS,BWL,"Beer, Wine, & Liquor",10 ART MUSEUM DRIVE,21218,10 ART MUSEUM DRIVE 21218
300050,1995/02/01 05:00:00+00,1995/02/04 05:00:00+00,1995/02/05 05:00:00+00,2828,25,BALTIMORE CITY FIRE DEPT.8TH BATALION,HERITAGE GARDENS,WS,BW,Beer & Wines,7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300051,1994/01/31 05:00:00+00,1994/02/05 05:00:00+00,1994/02/06 05:00:00+00,111,25,EHRLICH FOR CONGRESS COMMITTEE,DUNDALK MARINE TERMINAL PASSENGER BLDG.,WS,BW,Beer & Wines,2700 BROENING HIGHWAY,21222,2700 BROENING HIGHWAY 21222
300052,2003/11/11 05:00:00+00,2003/11/16 05:00:00+00,2003/11/17 05:00:00+00,1275,25,ST. ROSE OF LIMA SCHOOL,SCHOOL HALL,LS,BWL,"Beer, Wine, & Liquor",410 E. JEFFREY ST.,21225,410 E. JEFFREY ST. 21225
300053,2003/02/05 05:00:00+00,2003/02/09 05:00:00+00,2003/02/10 05:00:00+00,732,25,ST. ROSE OF LIMA,SCHOOL HALL,LS,BWL,"Beer, Wine, & Liquor",410 JEFFREY ST.,21225,410 JEFFREY ST. 21225
300054,2002/02/07 05:00:00+00,2002/02/17 05:00:00+00,2002/02/18 05:00:00+00,161,25,ST. PETER THE APOSTLE CHURCH,CHURCH HALL,WS,BW,Beer & Wines,848 HOLLINS STREET,21201,848 HOLLINS STREET 21201
300055,1996/02/05 05:00:00+00,1996/02/11 05:00:00+00,1996/02/12 05:00:00+00,3617,25,ST. EDWARDS ROMAN CATHOLIC CHURCH,LA FONTAINE BLEU CATERS,LS,BWL,"Beer, Wine, & Liquor",3120 ERDMAN AVENUE,21213,3120 ERDMAN AVENUE 21213
300056,1994/02/02 05:00:00+00,1994/02/04 05:00:00+00,1994/02/05 05:00:00+00,119,25,"MD. PUBLIC INTEREST LAW PROJECT, INC.",WESTMINSTER HALL,WS,BW,Beer & Wines,500 W. BALTIMORE STREET,21201,500 W. BALTIMORE STREET 21201
300057,1996/02/21 05:00:00+00,1996/02/25 05:00:00+00,1996/02/26 05:00:00+00,3641,25,SQUARE DEAL DEMOCRATIC CLUB OF BELAIR RD,HERITAGE PARKVILLE GARDENS,WS,BW,Beer & Wines,7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300058,1994/02/02 05:00:00+00,1994/03/19 04:00:00+00,1994/03/20 04:00:00+00,121,25,WOMENS CORDIALITY CLUB,ROOSEVELT PARK RECREATION CENTER,WS,BW,Beer & Wines,1221 W. 36TH STREET,21211,1221 W. 36TH STREET 21211
300059,1997/03/17 04:00:00+00,1997/04/11 04:00:00+00,1997/04/14 04:00:00+00,4462,75,JHU- SPRING FAIR,DECKER GARDENS,WS,BW,Beer & Wines,3400 N. CHARLES ST.,21218,3400 N. CHARLES ST. 21218
300060,1995/02/03 05:00:00+00,1995/02/18 05:00:00+00,1995/02/19 05:00:00+00,2842,25,COPPIN STATE COLLEGE ALUMNI ASSOCIATION,C S C NEIGHBORHOOD HOUSING OFFICE,LS,BWL,"Beer, Wine, & Liquor",2601 W. NORTH AVENUE,21216,2601 W. NORTH AVENUE 21216
300061,1994/09/21 04:00:00+00,1994/09/23 04:00:00+00,1994/09/24 04:00:00+00,2553,25,JHU HOP,LEVERING UNION HALL,WS,BW,Beer & Wines,3400  N. CHARLES STREET,21218,3400  N. CHARLES STREET 21218
300062,1997/09/26 04:00:00+00,1997/11/02 04:00:00+00,1997/11/03 05:00:00+00,4793,25,K OF C ARCHBISHOP CURLEY COUNCIL #5206,ST. ANTHONY'S SCHOOL HALL,WS,BW,Beer & Wines,4414 FRANKFORD AVENUE,21206,4414 FRANKFORD AVENUE 21206
300063,1997/02/25 05:00:00+00,1997/04/20 04:00:00+00,1997/04/21 04:00:00+00,4433,25,FATHER KOLBE SCHOOL,ST. CASIMIR'S CHURCH HALL,WS,BW,Beer & Wines,INT KENWOOD & O'DONNELL STREETS,21224,INT KENWOOD & O'DONNELL STREETS 21224
300064,2000/01/27 05:00:00+00,2000/02/20 05:00:00+00,2000/02/21 05:00:00+00,6104,25,INTERNATIONAL ORDER OF OLD BASTARDS,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21224,7631 HARFORD ROAD 21224
300065,1996/05/08 04:00:00+00,1996/05/11 04:00:00+00,1996/05/13 04:00:00+00,3803,50,FELLS POINT BUSINESS ASSOCIATION,BROADWAY SQUARE,LS,BWL,"Beer, Wine, & Liquor",800 S. BROADWAY ST,21231,800 S. BROADWAY ST 21231
300066,2002/03/20 04:00:00+00,2002/04/05 04:00:00+00,2002/04/06 04:00:00+00,222,25,"ST. MARY, STAR OF THE SEA CHURCH",CATHOLIC COMMUNITY SCHOOL,WS,BW,Beer & Wines,300 GITINGS AVENUE,21212,300 GITINGS AVENUE 21212
300067,1996/02/01 05:00:00+00,1996/03/16 04:00:00+00,1996/03/17 04:00:00+00,3601,25,"ST. MARY, STAR OF THE SEA CHURCH",CHURCH HALL,WS,BW,Beer & Wines,300 BATTERY AVENUE,21230,300 BATTERY AVENUE 21230
300068,1995/02/02 05:00:00+00,1995/02/12 05:00:00+00,1995/02/13 05:00:00+00,2836,25,G.C.I.U. LOCAL #31,TEAMSTERS HALL,LS,BWL,"Beer, Wine, & Liquor",6000 ERDMAN AVENUE,21205,6000 ERDMAN AVENUE 21205
300069,1996/10/28 04:00:00+00,1996/11/01 04:00:00+00,1996/11/02 04:00:00+00,4248,25,"FREDERICK DOUGLASS CLASS OF ""73""",GALLERY OF EVENTS,LS,BWL,"Beer, Wine, & Liquor",429 N. EUTAW STREET,21201,429 N. EUTAW STREET 21201
300070,1994/02/09 05:00:00+00,1994/03/19 04:00:00+00,1994/03/20 04:00:00+00,152,25,FRIENDS OF RANDY COLLINS (47TH DISTRICT),ST. MARY'S HALL,WS,BW,Beer & Wines,1419 RIVERSIDE AVENUE,21230,1419 RIVERSIDE AVENUE 21230
300071,1997/04/09 04:00:00+00,1997/05/02 04:00:00+00,1997/05/03 04:00:00+00,4515,25,"MARYLAND ART PLACE, INC./14K CABARET",MARYLAND ART PLACE,WS,BW,Beer & Wines,218 W. SARATOGA STREET,21202,218 W. SARATOGA STREET 21202
300072,1995/09/08 04:00:00+00,1995/09/09 04:00:00+00,1995/09/10 04:00:00+00,3326,25,MEDFIELD NEIGHBORHOOD RECREATION COUNCIL,RECREATION CENTER,LS,BWL,"Beer, Wine, & Liquor",1501 WOODHEIGHTS AVENUE,21211,1501 WOODHEIGHTS AVENUE 21211
300073,1994/02/14 05:00:00+00,1994/02/19 05:00:00+00,1994/02/20 05:00:00+00,158,25,ACI EXPRESS,K OF C HALL,WS,BW,Beer & Wines,1338 HULL ST.,21230,1338 HULL ST. 21230
300074,1994/02/15 05:00:00+00,1994/02/18 05:00:00+00,1994/02/19 05:00:00+00,161,25,MASTER CHARITY CLUB,THE FRANKLIN ROOM,LS,BWL,"Beer, Wine, & Liquor",6043 MORAVIA PARK DRIVE,21206,6043 MORAVIA PARK DRIVE 21206
300075,1994/02/16 05:00:00+00,1994/02/19 05:00:00+00,1994/02/20 05:00:00+00,162,25,GOVANS PRESBYTERIAN CHURCH,CHURCH HALL,WS,BW,Beer & Wines,5828 YORK ROAD,21212,5828 YORK ROAD 21212
300076,1999/03/19 04:00:00+00,1999/04/11 04:00:00+00,1999/04/12 04:00:00+00,5602,25,"BALTIMORE COUNTY RETIRED POLICE,INC.",HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300077,1994/02/17 05:00:00+00,1994/03/05 05:00:00+00,1994/03/06 05:00:00+00,165,25,DUNDALK SHRINE CLUB,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300078,1997/10/14 04:00:00+00,1997/11/02 04:00:00+00,1997/11/03 05:00:00+00,4826,25,ST. ROSE OF LIMA CHURCH,SCHOOL HALL,LS,BWL,"Beer, Wine, & Liquor",410 JEFFREY STREET,21225,410 JEFFREY STREET 21225
300079,2000/03/28 04:00:00+00,2000/04/08 04:00:00+00,2000/04/09 04:00:00+00,6189,25,ST. ROSE OF LIMA PARISH SCHOOL,SCHOOL HALL,LS,BWL,"Beer, Wine, & Liquor",410 JEFFREY ST.,21225,410 JEFFREY ST. 21225
300080,2001/03/27 04:00:00+00,2001/04/20 04:00:00+00,2001/04/21 04:00:00+00,6768,25,"ST. MARY, STAR OF THE SEA CHURCH",CATHOLIC COMMUNITY SCHOOL HALL,WS,BW,Beer & Wines,300 GITTINGS STREET,21230,300 GITTINGS STREET 21230
300081,1994/02/22 05:00:00+00,1994/03/06 05:00:00+00,1994/03/07 05:00:00+00,170,25,"HAPPY MUSIC TIME, INC.",POLISH HOME CLUB,WS,BW,Beer & Wines,510-12 S BROADWAY,21231,510-12 S BROADWAY 21231
300082,2002/12/31 05:00:00+00,2003/01/05 05:00:00+00,2003/01/06 05:00:00+00,681,25,ST. CASIMIR'S CHURCH,CHURCH HALL,WS,BW,Beer & Wines,"2736 O""DONNELL ST. @ LAKEWOOD",21224,"2736 O""DONNELL ST. @ LAKEWOOD 21224"
300083,1994/02/22 05:00:00+00,1994/02/23 05:00:00+00,1994/02/24 05:00:00+00,172,25,FRIENDS OF BILL HENRY,"""HIT AND RUN CLUB""",WS,BW,Beer & Wines,1000 E. 33RD STREET,21218,1000 E. 33RD STREET 21218
300084,1994/02/22 05:00:00+00,1994/03/05 05:00:00+00,1994/03/06 05:00:00+00,173,25,GARDEN RESTAURANT'S SOFTBALL TEAM,K OF C HALL,LS,BWL,"Beer, Wine, & Liquor",1338 HULL STREET,21230,1338 HULL STREET 21230
300085,1996/02/29 05:00:00+00,1996/03/10 05:00:00+00,1996/03/11 04:00:00+00,3661,25,ANG-LIARS ROD-N-REEL CLUB,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300086,1995/02/15 05:00:00+00,1995/03/10 05:00:00+00,1995/03/11 05:00:00+00,2862,25,"A.I.D.S ACTION BALTIMORE,INC.",JHU-GEORGE PEABODY LIBRARY,LS,BWL,"Beer, Wine, & Liquor",17 E. MT. VERNON PLACE,21202,17 E. MT. VERNON PLACE 21202
300087,1995/01/06 05:00:00+00,1995/01/10 05:00:00+00,1995/01/11 05:00:00+00,2773,25,FRIENDS OF SFIKAS,TRIAD BUILDING ATRIUM,WS,BW,Beer & Wines,5100 EASTERN AVENUE,21224,5100 EASTERN AVENUE 21224
300088,1994/02/24 05:00:00+00,1994/03/12 05:00:00+00,1994/03/13 05:00:00+00,178,25,"MARYLAND BOYS AND GIRLS CLUB,INC.",MUSEUM OF INDUSTRY,LS,BWL,"Beer, Wine, & Liquor",1415 KEY HWY,21230,1415 KEY HWY 21230
300089,1997/03/07 05:00:00+00,1997/03/14 04:00:00+00,1997/03/15 04:00:00+00,4456,25,COLLEGE OF NOTRE DAME/COMM. SERVICE ORG.,SCHOOL GYMNASIUM,WS,BW,Beer & Wines,4701 N. CHARLES ST.,21210,4701 N. CHARLES ST. 21210
300090,1997/05/01 04:00:00+00,1997/05/18 04:00:00+00,1997/05/19 04:00:00+00,4557,25,ST. ATHANASIUS ROMAN CATHOLIC CHURCH,CHURCH HALL,WS,BW,Beer & Wines,4700 PRUDENCE STREET,21226,4700 PRUDENCE STREET 21226
300091,1997/05/01 04:00:00+00,1997/06/14 04:00:00+00,1997/06/15 04:00:00+00,4558,25,ST. ATHANASIUS ROMAN CATHOLIC CHURCH,GRASS AREA AT REAR OF CHURCH,WS,BW,Beer & Wines,4708 PRUDENCE ST,21226,4708 PRUDENCE ST 21226
300092,2002/11/12 05:00:00+00,2002/11/16 05:00:00+00,2002/11/17 05:00:00+00,619,25,ST. PATRICK'S CATHOLIC CHURCH,CHURCH HALL,WS,BW,Beer & Wines,1728 BANK STREET,21231,1728 BANK STREET 21231
300093,1994/10/13 04:00:00+00,1994/10/22 04:00:00+00,1994/10/23 04:00:00+00,2627,25,EASTERN SHORE HUNT AND PLEASURE CLUB,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
300094,1994/01/03 05:00:00+00,1994/03/04 05:00:00+00,1994/03/05 05:00:00+00,185,25,"GILMAN SCHOOL,INC.",SCHOOL GYM,WS,BW,Beer & Wines,5407 ROLAND AVENUE,21210,5407 ROLAND AVENUE 21210
300095,1994/03/02 05:00:00+00,1994/03/19 04:00:00+00,1994/03/20 04:00:00+00,186,25,FRIENDS OF JACKLYN HUGHES,KNIGHTS OF COLUMBIA,LS,BWL,"Beer, Wine, & Liquor",1338 HULL STREET,21230,1338 HULL STREET 21230
300096,2004/01/20 05:00:00+00,2004/02/14 05:00:00+00,2004/02/15 05:00:00+00,1363,25,ST. LEO'S CATHOLIC CHURCH,SCHOOL HALL,WS,BW,Beer & Wines,STYLES & EXETER STREETS,21202,STYLES & EXETER STREETS 21202
300097,2004/01/29 05:00:00+00,2004/02/08 05:00:00+00,2004/02/09 05:00:00+00,1379,25,ST. FRANCIS OF ASSISSI,CHURCH HALL,WS,BW,Beer & Wines,3615 HARFORD ROAD,21218,3615 HARFORD ROAD 21218
300098,1996/03/04 05:00:00+00,1996/03/09 05:00:00+00,1996/03/10 05:00:00+00,3667,25,LIBERTY BASSMASTERS,HERITAGE PARKVILLE GARDENS,LS,BWL,"Beer, Wine, & Liquor",7631 HARFORD ROAD,21234,7631 HARFORD ROAD 21234
