LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
404623,2012/05/04 04:00:00+00,2012/05/05 04:00:00+00,2012/05/06 04:00:00+00,61330,50,KURK LEE FOUNDATION,Fundaiser,LS,BWL,"Beer, Wine, & Liquor",2900 Liberty Heights Avenue,21215,2900 Liberty Heights Avenue 21215
404624,2012/05/04 04:00:00+00,2012/05/05 04:00:00+00,2012/05/06 04:00:00+00,61331,50,"Project Millions More Movement Baltimore, Inc.",Comedy Show,LS,BWL,"Beer, Wine, & Liquor",5503  RICHARD AVENUE,21214,5503  RICHARD AVENUE 21214
404625,2012/05/07 04:00:00+00,2012/05/11 04:00:00+00,2012/05/12 04:00:00+00,61332,25,Johns Hopkins University Carey Business School,Happy Hour,WS,BW,Beer & Wines,100 International Drive Suite ( ground floor),21202,100 International Drive Suite ( ground floor) 21202
404626,2012/05/07 04:00:00+00,2012/05/18 04:00:00+00,2012/05/20 04:00:00+00,61333,50,MAP The 14kt Cabaret ,"Art, Poetry, Music",WS,BW,Beer & Wines,218 W SARATOGA ST,21201,218 W SARATOGA ST 21201
404627,2012/05/07 04:00:00+00,2012/05/19 04:00:00+00,2012/05/20 04:00:00+00,61334,50,"Cottda Foundation, Inc.",Social Affair,LS,BWL,"Beer, Wine, & Liquor",729 E. Pratt Street,21202,729 E. Pratt Street 21202
404628,2012/05/07 04:00:00+00,2012/05/11 04:00:00+00,2012/05/12 04:00:00+00,61335,50,The Childrens Home Inc,Wine Tasting,LS,BWL,"Beer, Wine, & Liquor",725 E Pratt Street,21202,725 E Pratt Street 21202
404629,2012/05/08 04:00:00+00,2012/05/18 04:00:00+00,2012/05/19 04:00:00+00,61336,25,"Fusion Partnerships, Inc.",Social Dance,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218,2640 ST. PAUL STREET 21218
404630,2012/05/08 04:00:00+00,2012/05/12 04:00:00+00,2012/05/13 04:00:00+00,61337,50,KURK LEE FOUNDATION,Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1601 PENNSYLVANIA AVENUE,21217,1601 PENNSYLVANIA AVENUE 21217
404631,2012/05/08 04:00:00+00,2012/05/13 04:00:00+00,2012/05/14 04:00:00+00,61338,50,Jamacian Association of Maryland Inc,Baltimore Caribbean Festival Fundraiser,LS,BWL,"Beer, Wine, & Liquor",4229 YORK RD,21212,4229 YORK RD 21212
404632,2012/05/08 04:00:00+00,2012/05/18 04:00:00+00,2012/05/20 04:00:00+00,61339,50,Jamacian Association of Maryland Inc,Fundraiser,WS,BW,Beer & Wines,4229 YORK RD,21212,4229 YORK RD 21212
404633,2012/05/08 04:00:00+00,2012/05/08 04:00:00+00,2012/05/09 04:00:00+00,61340,50,EUBIE BLAKE MUSEUM & CULTURAL CENTER,Reception,LS,BWL,"Beer, Wine, & Liquor",729 E Pratt Street Suite 100,21202,729 E Pratt Street Suite 100 21202
404634,2012/05/09 04:00:00+00,2012/05/10 04:00:00+00,2012/05/11 04:00:00+00,61341,50,"Music 4 More, Inc",Dance,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21215,1310 RUSSELL STREET 21215
404635,2012/05/09 04:00:00+00,2012/05/20 04:00:00+00,2012/05/21 04:00:00+00,61342,25,Muse 360 Inc,Annual Benefit,WS,BW,Beer & Wines,847 N. HOWARD STREET,21202,847 N. HOWARD STREET 21202
404636,2012/05/10 04:00:00+00,2012/05/12 04:00:00+00,2012/05/13 04:00:00+00,61343,50,"Arena Players , Inc",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",844 E. PRATT STREET,21202,844 E. PRATT STREET 21202
404637,2012/05/11 04:00:00+00,2012/06/18 04:00:00+00,2012/06/23 04:00:00+00,61344,125,SACRED HEART OF JESUS CHRIST-MENS CLUB,Annual Church  Carnival,WS,BW,Beer & Wines,3400 Foster Avenue,21224,3400 Foster Avenue 21224
404638,2012/05/11 04:00:00+00,2012/06/18 04:00:00+00,2012/06/24 04:00:00+00,61345,150,SACRED HEART OF JESUS CHRIST-MENS CLUB,Annual Church  Carnival,WS,BW,Beer & Wines,3400 Foster Avenue,21224,3400 Foster Avenue 21224
404639,2012/05/11 04:00:00+00,2012/05/19 04:00:00+00,2012/05/20 04:00:00+00,61346,25,FRIENDS OF PATTERSON PARK INC.,Bike Jam Festival,WS,BW,Beer & Wines,See permit# PA-20120037,21202,
404640,2012/05/14 04:00:00+00,2012/05/19 04:00:00+00,2012/05/20 04:00:00+00,61347,50,WEST INDIAN DANCE & CULTURAL ASSOC.,All Fair Tourment,LS,BWL,"Beer, Wine, & Liquor",3100 Virginia,21215,3100 Virginia 21215
404641,2012/05/14 04:00:00+00,2012/05/30 04:00:00+00,2012/05/31 04:00:00+00,61348,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",2 Center Plaza,21202,2 Center Plaza 21202
404642,2012/05/14 04:00:00+00,2012/06/27 04:00:00+00,2012/06/28 04:00:00+00,61349,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",2 Center Plaza,21202,2 Center Plaza 21202
404643,2012/05/14 04:00:00+00,2012/07/25 04:00:00+00,2012/07/26 04:00:00+00,61350,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",2 Center Plaza,21202,2 Center Plaza 21202
404644,2012/05/14 04:00:00+00,2012/08/16 04:00:00+00,2012/08/17 04:00:00+00,61351,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",2 Center Plaza,21202,2 Center Plaza 21202
404645,2012/05/14 04:00:00+00,2012/06/14 04:00:00+00,2012/06/15 04:00:00+00,61352,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",Preston  Garden Park,21202,Preston  Garden Park 21202
404646,2012/05/14 04:00:00+00,2012/06/21 04:00:00+00,2012/06/22 04:00:00+00,61353,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",Preston  Garden Park,21202,Preston  Garden Park 21202
404647,2012/05/14 04:00:00+00,2012/05/18 04:00:00+00,2012/05/19 04:00:00+00,61354,25,Dig 4 Kids,Tournament,WS,BW,Beer & Wines,See permit # IH-20120869,21230,
404648,2012/05/14 04:00:00+00,2012/05/20 04:00:00+00,2012/05/21 04:00:00+00,61355,25,HIGHLANDTOWN COMMUNITY ASSOCIATION,Highlandtown Wine Festival,WS,BW,Beer & Wines,See permit# 015812,21202,
404649,2012/05/14 04:00:00+00,2012/06/02 04:00:00+00,2012/06/03 04:00:00+00,61356,50,Greek Orthodox Cathedral of the Annunciation Athenian Agora,Church Supper,LS,BWL,"Beer, Wine, & Liquor",24 w. PRESTON STREET,21201,24 w. PRESTON STREET 21201
404650,2012/05/14 04:00:00+00,2012/05/18 04:00:00+00,2012/05/20 04:00:00+00,61357,50,"Waterfront Partnership of Baltimore, Inc.",Family Concert,WS,BW,Beer & Wines,401 Light Street,21230,401 Light Street 21230
404651,2012/05/14 04:00:00+00,2012/08/22 04:00:00+00,2012/08/23 04:00:00+00,61358,50,"DOWNTOWN PARTNERSHIP OF BALTIMORE, INC",Evening concert & Networking,LS,BWL,"Beer, Wine, & Liquor",2 Center Plaza,21202,2 Center Plaza 21202
